"Measure/
Dimension",Attribute Name,,Status,Attribute / Hierarchy,Remarks,Display Name,Source,Logics,Part of Jan Release,,
Dimension,Client_Sub_Segment_Roll_Up_II,will chk with dev model,Yes,Hierarchy,not present,Client Sub Segment Roll Up II,Segment Hierarchy,View Client_Sub_Segment_Roll_Up_II as per Segment Hierarchy against Client_Sub_Segment_ID.,Y,,
Dimension,Tagging_Model,,Yes,Attribute,present as attribute,Tagging Model,SDG Assets,View Tagging_Model as per SDG Assets against LE_ID.,Y,,
Dimension,L1_Mgt_Prod_Area_Code,,Yes,Hierarchy,not present,L1 Mgt Prod Area Code,Product Hierarchy,View L1_Mgt_Prod_Area_Code as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L2 _Mgt_Prod_SubArea_Code,,Yes,Hierarchy,,L2  Mgt Prod SubArea Code,Product Hierarchy,View L2 _Mgt_Prod_SubArea_Code as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L3_Mgt_Prod_Seg_Code,,Yes,Hierarchy,,L3 Mgt Prod Seg Code,Product Hierarchy,View L3_Mgt_Prod_Seg_Code as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L4_Mgt_Prod_SubSeg_Code,,Yes,Hierarchy,,L4 Mgt Prod SubSeg Code,Product Hierarchy,View L4_Mgt_Prod_SubSeg_Code as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L5_Mgt_Prod_Family_Code,,Yes,Hierarchy,,L5 Mgt Prod Family Code,Product Hierarchy,View L5_Mgt_Prod_Family_Code as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L5_Mgt_Prod_Family_Desc,,Yes,Hierarchy,,L5 Mgt Prod Family Desc,Product Hierarchy,View L5_Mgt_Prod_Family_Desc as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L6_Mgt_Prod_SubFamily_Code,,Yes,Hierarchy,,L6 Mgt Prod SubFamily Code,Product Hierarchy,View L6_Mgt_Prod_SubFamily_Code as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L6_Mgt_Prod_SubFamily_Desc,,Yes,Hierarchy,,L6 Mgt Prod SubFamily Desc,Product Hierarchy,View L6_Mgt_Prod_SubFamily_Desc as per Product Hierarchy against L7 Mgt Prod Code.,Y,,
Dimension,L7_Mgt_Prod_Code,,Yes,Attribute,,L7 Mgt Prod Code,SDG Assets,View L7_Mgt_Prod_Code as per SDG Assets against LE_ID.,Y,,
Dimension,Client_Sub_Segment_ID,will chk with dev model,Yes,Hierarchy,not present,Client Sub Segment ID,Segment Hierarchy,View Client_Sub_Segment_ID as per SDG Assets against LE_ID.,Y,,
Dimension,Client_Sub_Segment_Roll_Up_ID_II,will chk with dev model,Yes,Hierarchy,,Client Sub Segment Roll Up ID II,Segment Hierarchy,View Client_Sub_Segment_Roll_Up_ID_II as per Segment Hierarchy against Client_Sub_Segment_ID.,Y,,
Dimension,FOL_Location_Abbr,,Yes,Attribute,not present,FOL Location Abbr,SDG Assets,View FOL_Location_Abbr as per SDG Assets against LE_ID.,Y,,
Dimension,Ultimate_Parent_Region Cluster,,Yes,Hierarchy,not found,Ultimate Parent Region Cluster,Country Hierarchy,View Region_Cluster as per Country Hierarchy against Ultimate_Parent_Location_Abbr.,Y,,
Dimension,FOL_Region Cluster,,Yes,Hierarchy,,FOL Region Cluster,Country Hierarchy,View Region_Cluster as per Country Hierarchy against FoL_Location_Abbr.,Y,,
Dimension,Client_Segment_Key_Category,,Yes,Hierarchy,,Client Segment Key Category,Segment Hierarchy,View Client Segment Key Category as per Segment Hierarchy against Client_Sub_Segment_ID.,Y,,
Dimension,Client_Segment_Sub_Category,,Yes,Hierarchy,,Client Segment Sub Category,Segment Hierarchy,View Client Segment Sub Category as per Segment Hierarchy against Client_Sub_Segment_ID.,Y,,
